kor,no,url,part
가격,2374,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191014/627340/MOV000252603_700X466.mp4,
가격,4870,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160924/347125/MOV000260409_700X466.mp4,
가격,6286,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220812/1010107/MOV000360096_700X466.mp4,
가격,8756,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160924/345535/MOV000243762_700X466.mp4,
가격,8757,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160924/346901/MOV000260210_700X466.mp4,
가격표,10063,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151210/225000/MOV000241243_700X466.mp4,
가결,7589,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160103/239425/MOV000249342_700X466.mp4,
가계,11945,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160103/239426/MOV000249344_700X466.mp4,
가계부,1671,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151210/225254/MOV000241354_700X466.mp4,
가곡,7590,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160103/239427/MOV000249346_700X466.mp4,
가공,12326,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191010/626222/MOV000258980_700X466.mp4,
가교,1673,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151210/225256/MOV000241358_700X466.mp4,
가구,6770,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20201023/764397/MOV000250034_700X466.mp4,
가구,6868,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20190918/615393/MOV000249350_700X466.mp4,
가구점,1674,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151210/225257/MOV000241360_700X466.mp4,
가구주,6869,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160103/239430/MOV000249352_700X466.mp4,
가구주,6886,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20201223/790888/MOV000357847_700X466.mp4,
가까스로,9355,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160103/239852/MOV000250196_700X466.mp4,
가까스로,10859,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160109/243400/MOV000257217_700X466.mp4,
가까스로,11223,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151207/223465/MOV000240549_700X466.mp4,
가까스로,12406,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160103/239431/MOV000249354_700X466.mp4,
가까워지다,1675,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151210/225258/MOV000241362_700X466.mp4,
가까이,823,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191004/624437/MOV000237106_700X466.mp4,
가까이,824,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200810/727139/MOV000237108_700X466.mp4,
가까이,11502,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191004/624438/MOV000249190_700X466.mp4,
가까이,11775,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191004/624440/MOV000257100_700X466.mp4,
가까이하다,824,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200810/727139/MOV000237108_700X466.mp4,
가까이하다,825,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200810/727139/MOV000237108_700X466.mp4,
가까이하다,5910,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191024/630495/MOV000257453_700X466.mp4,
가까이하다,8920,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191024/630493/MOV000255166_700X466.mp4,
가까이하다,10865,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191024/630494/MOV000255156_700X466.mp4,
가까이하다,11575,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191024/630492/MOV000250884_700X466.mp4,
가깝다,824,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200810/727139/MOV000237108_700X466.mp4,
가깝다,1185,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200810/727139/MOV000237108_700X466.mp4,
가깝다,5910,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191024/630495/MOV000257453_700X466.mp4,
가깝다,8920,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191024/630493/MOV000255166_700X466.mp4,
가깝다,9958,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191024/630495/MOV000257453_700X466.mp4,
가깝다,10865,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191024/630494/MOV000255156_700X466.mp4,
가깝다,11575,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191024/630492/MOV000250884_700X466.mp4,
가깝다,12329,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191029/632335/MOV000259119_700X466.mp4,
가꾸다,1166,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151127/217572/MOV000237871_700X466.mp4,
가꾸다,2781,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191025/630746/MOV000245594_700X466.mp4,
가꾸다,4523,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160102/238944/MOV000248386_700X466.mp4,
가꾸다,6871,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160103/239435/MOV000249362_700X466.mp4,
가꾸다,9346,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191025/630742/MOV000249360_700X466.mp4,
가꾸다,9822,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191025/630744/MOV000257181_700X466.mp4,
가꾸다,9823,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191025/630743/MOV000257195_700X466.mp4,
가꾸다,9990,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191025/630740/MOV000257898_700X466.mp4,
가꾸다,11758,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191025/630745/MOV000256058_700X466.mp4,
가꾸다,11836,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191025/630741/MOV000249618_700X466.mp4,
가끔,9915,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191029/632410/MOV000259374_700X466.mp4,
가끔,10891,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191029/632409/MOV000256536_700X466.mp4,
가끔,12407,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191029/632407/MOV000249364_700X466.mp4,
가끔,12415,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191029/632408/MOV000250331_700X466.mp4,
가나,9347,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20221101/1047315/MOV000361218_700X466.mp4,
가난,2691,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151118/212305/MOV000235473_700X466.mp4,
가난,2693,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151119/212701/MOV000235671_700X466.mp4,
가난,9471,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200821/733641/MOV000249370_700X466.mp4,
가난,10654,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160106/241460/MOV000253378_700X466.mp4,
가난뱅이,2953,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200821/733035/MOV000243764_700X466.mp4,
가내,1196,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20221024/1044074/MOV000361139_700X466.mp4,
가내,1676,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151210/225259/MOV000241364_700X466.mp4,
가냘프다,6718,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160103/239494/MOV000249480_700X466.mp4,
가냘프다,23825,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200825/735445/MOV000260292_700X466.mp4,
가느다랗다,1677,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200824/735127/MOV000260291_700X466.mp4,
가느다랗다,23825,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200825/735445/MOV000260292_700X466.mp4,
가는곳,4954,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220811/1009636/MOV000359967_700X466.mp4,
가늘다,6719,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200821/733615/MOV000249482_700X466.mp4,
가늘다,23825,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200825/735445/MOV000260292_700X466.mp4,
가능,1391,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151122/214241/MOV000236364_700X466.mp4,
가능,12408,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20201023/764392/MOV000249484_700X466.mp4,
가능성,2954,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151219/230619/MOV000243766_700X466.mp4,
가다,11796,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191028/632050/MOV000249486_700X466.mp4,
가다듬다,6720,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160924/345641/MOV000249488_700X466.mp4,
가다듬다,7641,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220801/1004438/MOV000359631_700X466.mp4,
가담,1193,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191031/632955/MOV000238133_700X466.mp4,
가담,9043,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191031/632954/MOV000259325_700X466.mp4,
가담,9348,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191031/632950/MOV000249490_700X466.mp4,
가담,11666,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191031/632953/MOV000247428_700X466.mp4,
가담,12297,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191031/632951/MOV000259584_700X466.mp4,
가담,12780,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191031/632949/MOV000250930_700X466.mp4,
가담,12927,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191031/632952/MOV000257417_700X466.mp4,
가도,1678,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151210/225261/MOV000241368_700X466.mp4,
가동,826,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200825/735480/MOV000237114_700X466.mp4,
가두다,6721,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160103/239500/MOV000249492_700X466.mp4,
가두모금,1679,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151210/225361/MOV000241370_700X466.mp4,
가두선전,1680,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151210/225362/MOV000241372_700X466.mp4,
가두연설,1681,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151210/225363/MOV000241374_700X466.mp4,
가두판매,1717,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151210/225364/MOV000241376_700X466.mp4,
가득,11194,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200825/735407/MOV000240011_700X466.mp4,
가득,11665,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160101/238461/MOV000247420_700X466.mp4,
가득차다,9875,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191022/630180/MOV000259285_700X466.mp4,
가득히,11194,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200825/735407/MOV000240011_700X466.mp4,
가라앉다,51,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151120/213207/MOV000235891_700X466.mp4,
가라앉다,827,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151124/215905/MOV000237116_700X466.mp4,
가라앉다,828,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20221014/1040334/MOV000360736_700X466.mp4,
가라앉다,6758,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160103/239501/MOV000249494_700X466.mp4,
가라앉다,6759,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160103/239502/MOV000249496_700X466.mp4,
가라앉히다,827,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151124/215905/MOV000237116_700X466.mp4,
가라앉히다,828,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20221014/1040334/MOV000360736_700X466.mp4,
가라앉히다,6758,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160103/239501/MOV000249494_700X466.mp4,
가락국수,1718,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151210/225365/MOV000241378_700X466.mp4,
가락지,1719,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191029/632236/MOV000241380_700X466.mp4,
